KASARGOD,DATE,CONFIRMED ,RECOVERED ,ACTIVE,DEATH
kannur,14-06-2020,4,2,120,0
kannur,15-06-2020,10,21,109,0
kannur,16-06-2020,7,1,115,0
kannur,17-06-2020,4,1,118,0
kannur,18-06-2020,4,4,117,1
kannur,19-06-2020,8,20,105,0
kannur,20-06-2020,4,2,107,0
WAYANAD,26-03-2020,1,0,1,0
wayanad,30-03-2020,2,0,3,0
wayanad,8/4/2020,0,2,1,0
wayanad,25-04-2020,0,1,0,0
wayanad,2/5/2020,1,0,1,0
wayanad,5/5/2020,3,0,4,0
wayanad,10/5/2020,3,0,7,0
wayanad,11/5/2020,1,0,8,0
wayanad,13-05-2020,2,0,10,0
wayanad,14-05-2020,3,0,13,0
wayanad,15-05-2020,5,0,18,0
wayanad,16-05-2020,0,2,16,0
wayanad,20-05-2020,0,1,15,0
wayanad,21-05-2020,0,4,11,0
wayanad,22-05-2020,1,0,12,0
wayanad,23-05-2020,1,0,13,0
wayanad,24-05-2020,0,3,9,1
wayanad,25-05-2020,0,1,8,0
wayanad,27-05-2020,3,1,10,0
wayanad,29-05-2020,2,5,7,0
wayanad,31-05-2020,3,0,10,0
wayanad,1/6/2020,0,1,9,0
wayanad,2/6/2020,6,0,15,0
wayanad,4/6/2020,2,2,15,0
wayanad,5/6/2020,3,0,18,0
wayanad,8/6/2020,2,2,18,0
wayanad,9/6/2020,6,1,23,0
wayanad,10/6/2020,4,6,21,0
wayanad,13-06-2020,1,1,21,0
wayanad,14-06-2020,1,1,21,0
wayanad,15-06-2020,1,0,22,0
wayanad,16-06-2020,0,5,17,0
wayanad,17-06-2020,3,0,20,0
wayanad,18-06-2020,0,2,18,0
wayanad,19-06-2020,4,0,22,0
wayanad,20-06-2020,5,2,25,0
KOZHIKODE,22-03-2020,2,0,2,0
kozhikode,24-03-2020,2,0,4,0
kozhikode,25-03-2020,1,0,5,0
kozhikode,27-03-2020,1,0,6,0
kozhikode,1/4/2020,0,1,5,0
kozhikode,2/4/2020,1,0,6,0
kozhikode,3/4/2020,0,1,5,0
kozhikode,5/4/2020,5,1,9,0
kozhikode,8/4/2020,0,2,7,0
kozhikode,10/4/2020,0,1,6,0
kozhikode,11/4/2020,1,0,7,0
kozhikode,12/4/2020,0,1,6,0
kozhikode,14-04-2020,3,0,9,0
kozhikode,15-04-2020,0,2,7,0
kozhikode,16-04-2020,2,0,9,0
kozhikode,17-04-2020,1,0,10,0
kozhikode,18-04-2020,1,0,11,0
kozhikode,21-04-2020,0,2,9,0
kozhikode,22-04-2020,2,0,11,0
kozhikode,23-04-2020,2,0,13,0
kozhikode,25-04-2020,0,2,11,0
kozhikode,27-04-2020,0,4,7,0
kozhikode,29-04-2020,0,3,4,0
kozhikode,30-04-2020,0,1,3,0
kozhikode,4/5/2020,0,3,0,0
kozhikode,13-05-2020,1,0,1,0
kozhikode,14-05-2020,1,0,2,0
kozhikode,15-05-2020,2,0,4,0
kozhikode,16-05-2020,3,0,7,0
kozhikode,17-05-2020,2,0,9,0
kozhikode,18-05-2020,2,0,11,0
kozhikode,20-05-2020,1,0,12,0
kozhikode,21-05-2020,0,1,11,0
kozhikode,22-05-2020,5,0,16,0
kozhikode,23-05-2020,4,0,20,0
kozhikode,24-05-2020,1,0,21,0
kozhikode,25-05-2020,4,0,25,0
kozhikode,27-05-2020,2,0,27,0
kozhikode,28-05-2020,6,1,32,0
kozhikode,29-05-2020,2,2,32,0
kozhikode,30-05-2020,4,0,36,0
kozhikode,31-05-2020,2,4,34,0
kozhikode,1/6/2020,0,1,32,1
kozhikode,2/6/2020,5,0,37,0
kozhikode,3/6/2020,7,5,39,0
kozhikode,4/6/2020,10,5,44,0
kozhikode,5/6/2020,4,1,47,0
kozhikode,6/6/2020,4,7,44,0
kozhikode,7/6/2020,6,0,50,0
kozhikode,8/6/2020,13,0,63,0
kozhikode,9/6/2020,7,3,67,0
kozhikode,10/6/2020,10,3,74,0
kozhikode,11/6/2020,1,3,72,0
kozhikode,12/6/2020,4,2,74,0
kozhikode,13-06-2020,12,2,84,0
kozhikode,14-06-2020,8,1,91,0
kozhikode,15-06-2020,6,4,93,0
kozhikode,16-06-2020,4,0,97,0
kozhikode,17-06-2020,6,14,89,0
kozhikode,18-06-2020,5,1,93,0
kozhikode,19-06-2020,6,3,96,0
kozhikode,20-06-2020,12,11,97,0
MALAPPURAM,16-03-2020,2,0,2,0
malappuram,22-03-2020,2,0,4,0
malappuram,24-03-2020,1,0,5,0
malappuram,26-03-2020,3,0,8,0
malappuram,28-03-2020,1,0,9,0
malappuram,29-03-2020,1,0,10,0
malappuram,1/4/2020,2,0,12,0
malappuram,2/4/2020,1,1,12,0
malappuram,5/4/2020,0,1,11,0
malappuram,6/4/2020,2,0,13,0
malappuram,7/4/2020,1,0,14,0
malappuram,9/4/2020,2,2,14,0
malappuram,10/4/2020,2,0,16,0
malappuram,12/4/2020,0,6,10,0
malappuram,14-04-2020,0,1,9,0
malappuram,16-04-2020,0,1,8,0
malappuram,17-04-2020,0,1,7,0
malappuram,19-04-2020,0,1,6,0
malappuram,21-04-2020,1,0,7,0
malappuram,22-04-2020,1,0,8,0
malappuram,23-04-2020,0,1,7,0
malappuram,24-04-2020,0,3,3,1
malappuram,26-04-2020,0,1,2,0
malappuram,27-04-2020,1,1,2,0
malappuram,30-04-2020,1,1,2,0
malappuram,4/5/2020,0,2,0,0
malappuram,9/5/2020,2,0,2,0
malappuram,10/5/2020,1,0,3,0
malappuram,11/5/2020,1,0,4,0
malappuram,12/5/2020,3,0,7,0
malappuram,13-05-2020,3,0,10,0
malappuram,14-05-2020,5,0,15,0
malappuram,15-05-2020,4,0,19,0
malappuram,16-05-2020,2,0,21,0
malappuram,17-05-2020,4,0,25,0
malappuram,18-05-2020,1,0,26,0
malappuram,19-05-2020,3,0,29,0
malappuram,20-05-2020,4,0,33,0
malappuram,21-05-2020,5,1,37,0
malappuram,22-05-2020,4,2,39,0
malappuram,23-05-2020,8,0,47,0
malappuram,24-05-2020,5,0,52,0
malappuram,25-05-2020,0,1,51,0
malappuram,26-05-2020,5,3,53,0
malappuram,27-05-2020,0,6,47,0
malappuram,28-05-2020,8,1,54,0
malappuram,29-05-2020,5,1,58,0
malappuram,30-05-2020,0,4,54,0
malappuram,31-05-2020,3,2,55,0
malappuram,1/6/2020,14,7,62,0
malappuram,2/6/2020,15,1,76,0
malappuram,3/6/2020,11,0,87,0
malappuram,4/6/2020,8,8,86,1
malappuram,5/6/2020,18,0,104,0
malappuram,6/6/2020,12,0,115,1
malappuram,7/6/2020,27,1,141,0
malappuram,8/6/2020,14,0,155,0
malappuram,9/6/2020,6,0,161,0
malappuram,10/6/2020,7,0,168,0
malappuram,11/6/2020,10,2,176,0
malappuram,12/6/2020,14,0,190,0
malappuram,13-06-2020,15,7,198,0
malappuram,14-06-2020,3,5,196,0
malappuram,15-06-2020,6,10,192,0
malappuram,16-06-2020,15,6,201,0
malappuram,17-06-2020,11,0,212,0
malappuram,18-06-2020,4,2,214,0
malappuram,19-06-2020,18,15,217,0
malappuram,20-06-2020,5,1,221,0
PALAKKAD,24-03-2020,1,0,1,0
palakkad,25-03-2020,2,0,3,0
palakkad,28-03-2020,1,0,4,0
palakkad,29-03-2020,1,0,5,0
palakkad,1/4/2020,1,0,6,0
palakkad,4/4/2020,1,0,7,0
palakkad,11/4/2020,0,4,3,0
palakkad,13-04-2020,1,0,4,0
palakkad,14-04-2020,0,2,2,0
palakkad,21-04-2020,4,0,6,0
palakkad,22-04-2020,0,1,5,0
palakkad,27-04-2020,1,0,6,0
palakkad,30-04-2020,0,4,2,0
palakkad,4/5/2020,0,1,1,0
palakkad,10/5/2020,0,1,0,0
palakkad,11/5/2020,1,0,1,0
palakkad,13-05-2020,2,0,3,0
palakkad,14-05-2020,3,0,6,0
palakkad,15-05-2020,1,0,7,0
palakkad,16-05-2020,2,0,9,0
palakkad,17-05-2020,2,0,11,0
palakkad,18-05-2020,1,0,12,0
palakkad,19-05-2020,1,0,13,0
palakkad,20-05-2020,7,0,20,0
palakkad,21-05-2020,1,0,21,0
palakkad,22-05-2020,5,0,26,0
palakkad,23-05-2020,19,0,45,0
palakkad,24-05-2020,4,0,49,0
palakkad,25-05-2020,5,0,54,0
palakkad,26-05-2020,29,2,81,0
palakkad,27-05-2020,8,0,89,0
palakkad,28-05-2020,16,0,105,0
palakkad,29-05-2020,14,0,119,0
palakkad,30-05-2020,9,0,128,0
palakkad,31-05-2020,12,0,140,0
palakkad,1/6/2020,2,1,141,0
palakkad,2/6/2020,5,0,146,0
palakkad,3/6/2020,5,0,151,0
palakkad,4/6/2020,7,13,144,1
palakkad,5/6/2020,40,0,184,0
palakkad,6/6/2020,11,30,165,0
palakkad,7/6/2020,6,7,164,0
palakkad,8/6/2020,1,2,163,0
palakkad,9/6/2020,14,0,177,0
palakkad,10/6/2020,6,0,183,0
palakkad,11/6/2020,13,13,183,0
palakkad,12/6/2020,5,6,182,0
palakkad,13-06-2020,8,9,181,0
palakkad,14-06-2020,6,27,160,0
palakkad,15-06-2020,7,12,155,0
palakkad,16-06-2020,6,9,152,0
palakkad,17-06-2020,6,24,134,0
palakkad,18-06-2020,14,11,137,0
palakkad,19-06-2020,10,13,134,0
palakkad,20-06-2020,23,10,147,0
THRISSUR,30-01-2020,1,0,1,0
thrissur,20-02-2020,0,1,0,0
thrissur,12/3/2020,1,0,1,0
thrissur,23-03-2020,1,0,2,0
thrissur,25-03-2020,0,1,1,0
thrissur,26-03-2020,2,0,3,0
thrissur,27-03-2020,1,0,4,0
thrissur,29-03-2020,1,0,5,0
thrissur,31-03-2020,1,0,6,0
thrissur,1/4/2020,2,0,8,0
thrissur,2/4/2020,1,0,9,0
thrissur,3/4/2020,1,0,10,0
thrissur,6/4/2020,0,1,9,0
thrissur,8/4/2020,1,3,7,0
thrissur,10/4/2020,0,1,6,0
thrissur,11/4/2020,0,1,5,0
thrissur,13-04-2020,0,3,2,0
thrissur,14-04-2020,0,1,1,0
thrissur,19-04-2020,0,1,0,0
thrissur,10/5/2020,2,0,2,0
thrissur,16-05-2020,4,0,6,0
thrissur,17-05-2020,1,0,7,0
thrissur,18-05-2020,4,0,11,0
thrissur,19-05-2020,1,0,12,0
thrissur,20-05-2020,2,2,12,0
thrissur,21-05-2020,3,0,15,0
thrissur,22-05-2020,4,0,18,1
thrissur,26-05-2020,4,0,22,0
thrissur,28-05-2020,7,0,29,0
thrissur,29-05-2020,6,0,35,0
thrissur,30-05-2020,10,3,42,0
thrissur,31-05-2020,3,0,45,0
thrissur,1/6/2020,9,0,54,0
thrissur,2/6/2020,6,0,60,0
thrissur,3/6/2020,4,1,63,0
thrissur,4/6/2020,4,2,65,0
thrissur,5/6/2020,8,5,68,0
thrissur,6/6/2020,16,0,84,0
thrissur,7/6/2020,26,13,97,0
thrissur,8/6/2020,27,0,123,1
thrissur,9/6/2020,6,4,125,0
thrissur,10/6/2020,9,0,133,1
thrissur,11/6/2020,25,7,151,0
thrissur,12/6/2020,14,4,161,0
thrissur,13-06-2020,4,3,162,0
thrissur,14-06-2020,7,8,161,0
thrissur,15-06-2020,3,6,158,0
thrissur,16-06-2020,7,3,162,0
thrissur,17-06-2020,8,11,159,0
thrissur,18-06-2020,6,22,143,0
thrissur,19-06-2020,1,13,131,0
thrissur,20-06-2020,6,0,137,0
ERNAKULAM,20-03-2020,6,0,6,0
ernakulam,21-03-2020,3,0,9,0
ernakulam,22-03-2020,2,0,11,0
ernakulam,23-03-2020,2,0,13,0
ernakulam,24-03-2020,1,0,14,0
ernakulam,25-03-2020,3,0,17,0
ernakulam,26-03-2020,0,4,13,0
ernakulam,28-03-2020,0,0,12,1
ernakulam,29-03-2020,1,0,13,0
ernakulam,1/4/2020,3,0,16,0
ernakulam,4/4/2020,1,0,17,0
ernakulam,7/4/2020,0,4,13,0
ernakulam,9/4/2020,0,4,9,0
ernakulam,10/4/2020,0,1,8,0
ernakulam,14-04-2020,0,2,6,0
ernakulam,16-04-2020,0,1,5,0
ernakulam,17-04-2020,0,2,3,0
ernakulam,27-04-2020,0,1,2,0
ernakulam,1/5/2020,0,1,1,0
ernakulam,8/5/2020,1,0,2,0
ernakulam,10/5/2020,1,0,3,0
ernakulam,17-05-2020,1,0,4,0
ernakulam,18-05-2020,1,0,5,0
ernakulam,20-05-2020,1,0,6,0
ernakulam,21-05-2020,0,1,5,0
ernakulam,24-05-2020,4,0,9,0
ernakulam,25-05-2020,0,1,8,0
ernakulam,26-05-2020,5,1,12,0
ernakulam,27-05-2020,2,0,14,0
ernakulam,29-05-2020,4,0,18,0
ernakulam,30-05-2020,4,0,22,0
ernakulam,31-05-2020,1,1,22,0
ernakulam,1/6/2020,3,0,25,0
ernakulam,2/6/2020,3,0,28,0
ernakulam,3/6/2020,5,0,33,0
ernakulam,4/6/2020,2,0,35,0
ernakulam,5/6/2020,10,4,41,0
ernakulam,6/6/2020,3,4,40,0
ernakulam,8/6/2020,3,0,43,0
ernakulam,9/6/2020,4,1,46,0
ernakulam,10/6/2020,4,2,48,0
ernakulam,11/6/2020,2,6,44,0
ernakulam,12/6/2020,5,3,46,0
ernakulam,13-06-2020,7,0,53,0
ernakulam,14-06-2020,7,1,59,0
ernakulam,15-06-2020,13,2,70,0
ernakulam,16-06-2020,13,1,82,0
ernakulam,17-06-2020,5,2,85,0
ernakulam,18-06-2020,6,4,87,0
ernakulam,19-06-2020,11,0,98,0
ernakulam,20-06-2020,3,1,100,0
IDUKKI,15-03-2020,1,0,1,0
idukki,25-03-2020,1,0,2,0
idukki,26-03-2020,1,0,3,0
idukki,30-03-2020,2,0,5,0
idukki,2/4/2020,5,0,10,0
idukki,3/4/2020,0,2,8,0
idukki,28-03-2020,0,1,7,0
idukki,8/4/2020,0,2,5,0
idukki,9/4/2020,0,2,3,0
idukki,11/4/2020,0,2,1,0
idukki,12/4/2020,0,1,0,0
idukki,23-04-2020,4,0,4,0
idukki,26-04-2020,6,0,10,0
idukki,27-04-2020,4,0,14,0
idukki,2/5/2020,0,2,12,0
idukki,4/5/2020,0,10,2,0
idukki,6/5/2020,0,1,1,0
idukki,9/5/2020,0,1,0,0
idukki,14-05-2020,1,0,1,0
idukki,21-05-2020,1,0,2,0
idukki,25-05-2020,1,1,2,0
idukki,28-05-2020,1,0,3,0
idukki,29-05-2020,1,0,4,0
idukki,30-05-2020,4,0,8,0
idukki,1/6/2020,1,0,9,0
idukki,3/6/2020,9,0,18,0
idukki,5/6/2020,3,0,21,0
idukki,6/6/2020,3,1,23,0
idukki,7/6/2020,1,0,24,0
idukki,9/6/2020,0,1,23,0
idukki,10/6/2020,4,0,27,0
idukki,12/6/2020,1,4,24,0
idukki,13-06-2020,4,1,27,0
idukki,14-06-2020,2,2,27,0
idukki,15-06-2020,2,0,29,0
idukki,18-06-2020,6,0,35,0
idukki,19-06-2020,2,0,37,0
idukki,20-06-2020,1,0,38,0
KOTTAYAM,10/3/2020,2,0,2,0
kottayam,24-03-2020,1,0,3,0
kottayam,28-03-2020,0,2,1,0
kottayam,3/4/2020,0,1,0,0
kottayam,22-04-2020,1,0,1,0
kottayam,23-04-2020,2,0,3,0
kottayam,25-04-2020,3,0,6,0
kottayam,26-04-2020,5,0,11,0
kottayam,27-04-2020,6,0,17,0
kottayam,4/5/2020,0,12,5,0
kottayam,6/5/2020,0,5,0,0
kottayam,12/5/2020,1,0,1,0
kottayam,13-05-2020,1,0,2,0
kottayam,18-05-2020,2,0,4,0
kottayam,21-05-2020,3,1,6,0
kottayam,22-05-2020,2,0,8,0
kottayam,23-05-2020,2,1,9,0
kottayam,25-05-2020,2,0,11,0
kottayam,26-05-2020,6,1,16,0
kottayam,28-05-2020,3,0,19,0
kottayam,29-05-2020,1,0,20,0
kottayam,30-05-2020,1,1,20,0
kottayam,1/6/2020,0,3,17,0
kottayam,2/6/2020,6,7,16,0
kottayam,3/6/2020,8,3,21,0
kottayam,4/6/2020,5,0,26,0
kottayam,5/6/2020,1,0,27,0
kottayam,6/6/2020,2,0,29,0
kottayam,7/6/2020,3,1,31,0
kottayam,8/6/2020,3,0,34,0
kottayam,9/6/2020,8,2,40,0
kottayam,10/6/2020,3,2,41,0
kottayam,11/6/2020,2,0,43,0
kottayam,12/6/2020,3,1,45,0
kottayam,13-06-2020,1,2,44,0
kottayam,14-06-2020,3,2,45,0
kottayam,15-06-2020,10,0,55,0
kottayam,16-06-2020,4,3,56,0
kottayam,17-06-2020,4,3,57,0
kottayam,18-06-2020,11,2,66,0
kottayam,19-06-2020,7,6,67,0
kottayam,20-06-2020,11,0,78,0
ALAPUZHA,2/2/2020,1,0,1,0
alapuzha,16-02-2020,0,1,0,0
alapuzha,24-03-2020,1,0,1,0
alapuzha,4/4/2020,1,0,2,0
alapuzha,7/4/2020,0,1,1,0
alapuzha,8/4/2020,2,0,3,0
alapuzha,17-04-2020,0,1,2,0
alapuzha,20-04-2020,0,2,0,0
alapuzha,15-05-2020,2,0,2,0
alapuzha,18-05-2020,2,0,4,0
alapuzha,19-05-2020,1,0,5,0
alapuzha,20-05-2020,1,0,6,0
alapuzha,21-05-2020,2,0,8,0
alapuzha,23-05-2020,5,0,13,0
alapuzha,24-05-2020,4,0,17,0
alapuzha,25-05-2020,3,0,20,0
alapuzha,26-05-2020,3,1,22,0
alapuzha,27-05-2020,7,1,28,0
alapuzha,28-05-2020,1,0,29,0
alapuzha,29-05-2020,3,0,32,0
alapuzha,30-05-2020,2,0,33,1
alapuzha,31-05-2020,6,0,39,0
alapuzha,1/6/2020,2,0,41,0
alapuzha,2/6/2020,10,0,51,0
alapuzha,3/6/2020,7,1,57,0
alapuzha,4/6/2020,8,0,65,0
alapuzha,5/6/2020,5,4,66,0
alapuzha,6/6/2020,4,0,70,0
alapuzha,7/6/2020,7,3,74,0
alapuzha,8/6/2020,5,0,79,0
alapuzha,9/6/2020,11,2,88,0
alapuzha,10/6/2020,1,7,82,0
alapuzha,12/6/2020,13,0,95,0
alapuzha,13-06-2020,9,0,104,0
alapuzha,14-06-2020,0,2,102,0
alapuzha,15-06-2020,5,0,107,0
alapuzha,16-06-2020,7,5,109,0
alapuzha,17-06-2020,1,16,94,0
alapuzha,18-06-2020,9,10,93,0
alapuzha,19-06-2020,13,4,102,0
alapuzha,20-06-2020,4,12,94,0
PATHANAMTHITA,9/3/2020,5,0,5,0
pathanamthita,10/3/2020,4,0,9,0
pathanamthita,23-03-2020,1,0,10,0
pathanamthita,25-03-2020,2,0,12,0
pathanamthita,26-03-2020,0,1,11,0
pathanamthita,29-03-2020,0,4,7,0
pathanamthita,31-03-2020,0,2,5,0
pathanamthita,2/4/2020,1,0,6,0
pathanamthita,3/4/2020,0,1,5,0
pathanamthita,5/4/2020,1,0,6,0
pathanamthita,6/4/2020,1,0,7,0
pathanamthita,8/4/2020,1,0,8,0
pathanamthita,12/4/2020,1,0,9,0
pathanamthita,13-04-2020,0,3,6,0
pathanamthita,24-04-2020,0,3,3,0
pathanamthita,29-04-2020,0,1,2,0
pathanamthita,30-04-2020,0,1,1,0
pathanamthita,6/5/2020,0,1,0,0
pathanamthita,12/5/2020,1,0,1,0
pathanamthita,14-05-2020,1,0,2,0
pathanamthita,18-05-2020,2,0,4,0
pathanamthita,19-05-2020,1,0,5,0
pathanamthita,20-05-2020,2,0,7,0
pathanamthita,22-05-2020,1,0,8,0
pathanamthita,24-05-2020,2,0,10,0
pathanamthita,25-05-2020,3,0,13,0
pathanamthita,27-05-2020,3,0,16,0
pathanamthita,28-05-2020,6,0,22,0
pathanamthita,29-05-2020,5,0,26,1
pathanamthita,31-05-2020,4,2,28,0
pathanamthita,1/6/2020,4,1,31,0
pathanamthita,2/6/2020,1,1,31,0
pathanamthita,3/6/2020,2,0,33,0
pathanamthita,4/6/2020,14,1,46,0
pathanamthita,5/6/2020,11,0,57,0
pathanamthita,6/6/2020,9,0,66,0
pathanamthita,7/6/2020,13,1,78,0
pathanamthita,8/6/2020,3,0,81,0
pathanamthita,9/6/2020,7,6,82,0
pathanamthita,10/6/2020,3,6,79,0
pathanamthita,11/6/2020,5,0,84,0
pathanamthita,12/6/2020,7,0,91,0
pathanamthita,13-06-2020,1,1,91,0
pathanamthita,14-06-2020,2,0,93,0
pathanamthita,15-06-2020,11,0,104,0
pathanamthita,16-06-2020,6,4,106,0
pathanamthita,17-06-2020,1,5,102,0
pathanamthita,18-06-2020,11,3,110,0
pathanamthita,19-06-2020,9,0,119,0
pathanamthita,20-06-2020,17,12,124,0
KOLLAM,27-03-2020,1,0,1,0
kollam,28-03-2020,1,0,2,0
kollam,31-03-2020,1,0,3,0
kollam,2/4/2020,2,0,5,0
kollam,4/4/2020,1,0,6,0
kollam,6/4/2020,1,1,6,0
kollam,7/4/2020,1,0,7,0
kollam,8/4/2020,0,1,6,0
kollam,9/4/2020,1,0,7,0
kollam,14-04-2020,0,1,6,0
kollam,15-04-2020,0,1,5,0
kollam,21-04-2020,1,0,6,0
kollam,23-04-2020,1,0,7,0
kollam,24-04-2020,0,1,6,0
kollam,25-04-2020,3,0,9,0
kollam,29-04-2020,6,0,15,0
kollam,30-04-2020,0,3,12,0
kollam,4/5/2020,0,9,3,0
kollam,13-05-2020,0,1,2,0
kollam,14-05-2020,0,2,0,0
kollam,15-05-2020,1,0,1,0
kollam,17-05-2020,1,0,2,0
kollam,18-05-2020,5,0,7,0
kollam,21-05-2020,2,0,9,0
